Saturday, May 23, 2015 04:10:12 PM PDT
 CPU minf mjf xcal  intr ithr  csw icsw migr smtx  srw syscl  usr sys  st idl
   0    0   0   85   285   71   19    0    1    0    0     4    0   1   0  99
   1    0   0   26    57    6   63    0   11    1    0    10    0   0   0 100
   2    0   0    6    31   11   29    1    1    0    0     6    0   0   0 100
   3    0   0   23    52    5   56    0   10    1    0     3    0   0   0 100
   4    0   0    5    29   10   28    1    1    0    0     4    0   0   0 100
   5    0   0   28    59    9   64    0   11    1    0    10    0   0   0 100
   6    0   0   10    38   17   32    1    1    0    0     7    0   0   0 100
   7    0   0   24    54    7   56    0   10    1    0     3    0   0   0 100
  16    0   0    4    17    5   16    0    1    0    0     3    0   0   0 100
  17    0   0   23    52    8   53    0   10    1    0     3    0   0   0 100
  18    0   0    9    25    9   24    0    1    1    0    15    0   0   0 100
  19    0   0   25    51    5   55    0   10    1    0     6    0   0   0 100
  20    0   0    7    28    7   27    0    3    0    0     3    0   0   0 100
  21    0   0   23    52    6   54    0   10    1    0     3    0   0   0 100
  22    0   0   11    35    9   35    0    4    1    0    11    0   0   0 100
  23    0   0   51   131    6  147    0   27    1    0     6    0   1   0  99
  32    0   0   10    95   47   77    0    1    1    0    42    0   0   0 100
  33    0   0    1    78   38   77    0    1    0    0    39    0   0   0 100
  34    0   0    1    81   39   81    0    1    0    0    40    0   0   0 100
  35    0   0    4    81   39   80    0    1    1    0    45    0   0   0 100
  36    0   0    2    77   37   77    0    1    1    0    41    0   0   0 100
  37    0   0    1    78   37   76    0    1    0    0    39    0   0   0 100
  38    0   0    1    82   40   80    0    1    0    0    40    0   0   0 100
  39    0   0    3    80   38   81    0    1    1    0    45    0   0   0 100
  48    0   0    3    79   38   79    0    1    1    0    45    0   0   0 100
  49    0   0    2    76   36   76    0    1    1    0    40    0   0   0 100
  50    0   0    1    73   35   72    0    1    0    0    37    0   0   0 100
  51    0   0    4    77   37   74    0    1    0    0    38    0   0   0 100
